Scientific_Name	Group	Plot	Sample_Name	Tube_No	Type_of_Sample	Total_Weight	Cup_No	pXRF_measurement_ID	ICP	Material	Cl_concentration	Cl_uncertainty	Ca_concentration	Ca_uncertainty	Ti_concentration	Ti_uncertainty	Cr_concentration	Cr_uncertainty	Mn_concentration	Mn_uncertainty	Fe_concentration	Fe_uncertainty	Co_concentration	Co_uncertainty	Ni_concentration	Ni_uncertainty	Cu_concentration	Cu_uncertainty	Zn_concentration	Zn_uncertainty	As_concentration	As_uncertainty	Se_concentration	Se_uncertainty	Cd_concentration	Cd_uncertainty	Re_concentration	Re_uncertainty	Hg_concentration	Hg_uncertainty	Tl_concentration	Tl_uncertainty	Pb_concentration	Pb_uncertainty	Substrate_RT
Aristida adscencionis	G31	P2	P2_E16_1	334;335	leaf-stem	0.589	199	2382	y	Plant	307	155	2064	120	20.7	9.5	8.7	4.2	ND<3.9	3.9	89.5	7.7	ND<0.9	0.9	ND<0.8	0.8	ND<1.3	1.3	ND<0.9	0.9	2.6	0.7	ND<0.3	0.3	ND<2.5	2.5	ND<1.1	1.1	ND<0.3	0.3	ND<0.3	0.3	ND<1.1	1.1	0.053492904
Aristida adscencionis	G31	P2	P2_E16_2	332;333	leaf-stem	0.471	200	2383	y	Plant	481	188	2430	133	36.3	11.5	11.2	4.8	ND<3.1	3.1	116	9	ND<1.1	1.1	ND<0.9	0.9	ND<1.5	1.5	ND<1.0	1	5.1	0.3	ND<0.4	0.4	ND<5.0	5	ND<1.3	1.3	ND<0.4	0.4	ND<0.4	0.4	ND<0.7	0.7	0.051234253
Boerhavia spicata	G32	P1	P1_13	308;309	leaf-stem	0.75	201	2384	y	Plant	481	205	12102	325	39.1	13.6	7.1	4.4	ND<2.6	2.6	289	14.6	ND<1.3	1.3	ND<0.9	0.9	6.5	2.2	ND<0.8	0.8	2.8	0.2	ND<0.3	0.3	ND<2.6	2.6	ND<1.1	1.1	ND<0.3	0.3	ND<0.3	0.3	ND<0.7	0.7	0.066526204
Boerhavia spicata	G32	P1	P1_13_1	306;307	leaf-stem	0.785	202	2385	y	Plant	ND<100	100	16408	352	64.7	15.7	2.9	2.9	ND<4.0	4	403	16.5	ND<1.3	1.3	ND<0.8	0.8	14.6	2.4	ND<1.0	1	2.5	0.2	ND<0.3	0.3	ND<2.4	2.4	ND<1.2	1.2	ND<0.3	0.3	ND<0.3	0.3	ND<0.7	0.7	0.06734249
Boerhavia spicata	G32	P1	P1_34	304;305	leaf-stem	0.646	203	2386	y	Plant	487	208	15263	359	59.6	15.8	7.7	4.5	ND<2.9	2.9	336	15.9	ND<1.3	1.3	ND<0.8	0.8	9.5	2.4	ND<0.8	0.8	2.2	0.7	ND<0.4	0.4	ND<4.7	4.7	ND<1.2	1.2	ND<0.3	0.3	ND<0.3	0.3	ND<1.1	1.1	0.056932107
Yucca elata	G5	P1	P1_22	346;347	leaf-stem	1.017	204	2391	y	Plant	1182	291	13108	334	ND<8.0	8	ND<2.8	2.8	ND<2.9	2.9	43.3	6.3	ND<1.1	1.1	ND<0.9	0.9	ND<1.3	1.3	12.4	2.3	3.4	0.3	1.1	0.5	ND<2.8	2.8	ND<1.3	1.3	ND<0.4	0.4	ND<0.3	0.3	ND<0.7	0.7	0.070870668
Yucca elata	G5	P1	P1_22_1	344;345	leaf-stem	1.401	205	2392	y	Plant	874	247	4808	194	ND<6.5	6.5	3.1	3.1	ND<3.4	3.4	27.7	4.6	ND<0.9	0.9	ND<0.8	0.8	ND<0.9	0.9	11.1	1.7	1.2	0.5	1.5	0.4	ND<2.1	2.1	ND<1.0	1	ND<0.3	0.3	ND<0.3	0.3	ND<0.9	0.9	0.109211393
Yucca elata	G5	P1	P1_22_2	342;343	leaf-stem	1.049	206	2393	y	Plant	ND<92.4	92.4	8447	251	ND<7.1	7.1	2.6	2.6	ND<3.8	3.8	49	6	ND<0.9	0.9	ND<0.8	0.8	ND<1.4	1.4	ND<0.7	0.7	1.7	0.5	2.1	0.5	ND<2.1	2.1	ND<1.0	1	ND<0.3	0.3	ND<0.3	0.3	ND<0.9	0.9	0.098067127
Dasylirion wheeleri	G4	P1	P1_28	348;349;350	leaf-stem	1.672	207	2394	y	Plant	997	265	12230	308	ND<7.5	7.5	2.8	2.8	ND<2.6	2.6	19.7	4.3	ND<1.0	1	ND<0.9	0.9	ND<1.1	1.1	4	1.6	2.3	0.2	1.3	0.5	7	7	ND<1.1	1.1	ND<0.3	0.3	ND<0.3	0.3	ND<0.6	0.6	0.096901171
Dasylirion wheeleri	G4	P1	P1_28_1	353;354	leaf-stem	1.119	208	2395	y	Plant	ND<93.1	93.1	9127	261	ND<7.1	7.1	2.9	2.9	ND<3.4	3.4	18.3	3.8	ND<0.9	0.9	ND<0.7	0.7	ND<0.9	0.9	14.3	1.9	1.4	0.5	0.7	0.4	ND<3.7	3.7	ND<1.0	1	ND<0.3	0.3	ND<0.3	0.3	ND<1.0	1	0.090076216
Dasylirion wheeleri	G4	P1	P1_28_2	351;352	leaf-stem	1.222	209	2396	y	Plant	ND<101	101	13802	324	25.8	11.8	4.5	3.8	ND<2.6	2.6	26.1	4.9	ND<0.9	0.9	ND<0.8	0.8	ND<1.0	1	ND<0.7	0.7	2.7	0.2	2	0.5	ND<2.1	2.1	ND<1.1	1.1	ND<0.3	0.3	ND<0.3	0.3	ND<0.6	0.6	0.099299938
Bouteloua curtipendula	G27	P1	P1_11	310;311	leaf-stem	0.842	210	2397	y	Plant	1506	318	3949	180	ND<7.3	7.3	7.2	4.2	ND<2.9	2.9	22.6	4.8	ND<1.0	1	ND<0.8	0.8	ND<1.3	1.3	ND<1.0	1	4.3	0.3	0.6	0.4	ND<4.1	4.1	ND<1.0	1	ND<0.3	0.3	ND<0.3	0.3	ND<0.7	0.7	0.075488649
Bouteloua curtipendula	G27	P1	P1_47	312;313	leaf-stem	0.795	211	2398	y	Plant	1342	305	3883	181	ND<6.2	6.2	8.1	4.5	ND<3.0	3	25.3	5.1	ND<0.9	0.9	ND<0.9	0.9	ND<1.2	1.2	ND<0.9	0.9	3.6	0.2	0.5	0.4	ND<2.4	2.4	ND<1.1	1.1	ND<0.3	0.3	ND<0.3	0.3	ND<0.6	0.6	0.085685097
Amaranthus palmeri	G12	P1	P1_23	318	stem	0.333	212	2400	y	Plant	1377	321	14536	383	27	13.2	7.8	5.3	ND<2.9	2.9	25.9	6.1	ND<1.3	1.3	ND<1.0	1	ND<1.9	1.9	ND<1.2	1.2	4.4	0.3	ND<0.4	0.4	11.9	11.9	ND<1.4	1.4	ND<0.4	0.4	ND<0.4	0.4	ND<0.8	0.8	0.050598804
Amaranthus palmeri	G12	P2	P2_palmer1	317	stem	0.422	215	2403	y	Plant	3117	456	10500	324	88.3	19.4	6.7	4.8	ND<3.2	3.2	186	12.6	ND<1.3	1.3	ND<1.0	1	66.4	5.1	9.2	2.4	3.3	0.3	ND<0.4	0.4	ND<3.0	3	ND<1.2	1.2	ND<0.3	0.3	ND<0.4	0.4	ND<0.7	0.7	0.055873249
Amaranthus palmeri	G12	P5	P5_63_2	322;323	stem	0.688	218	2407	y	Plant	6148	625	19691	420	38.8	14.4	7.2	5	ND<3.4	3.4	47.5	7	ND<1.3	1.3	ND<1.0	1	ND<2.4	2.4	4	2.2	4.2	0.3	0.5	0.5	8.7	8.7	ND<1.2	1.2	ND<0.3	0.3	ND<0.4	0.4	ND<0.7	0.7	0.065107942
Amaranthus palmeri	G12	P6	P6_78	326	stem	0.103	219	2408	y	Plant	3789	508	7432	261	69.5	16.7	27.1	7.8	ND<3.1	3.1	68.9	10.2	ND<1.6	1.6	ND<1.4	1.4	18.8	5.7	ND<1.2	1.2	10.4	0.6	ND<0.4	0.4	ND<6.3	6.3	ND<1.6	1.6	ND<0.5	0.5	ND<0.5	0.5	ND<1.0	1	0.032271903
Xanthisma gracile	G36	P6	P6_77	355;356	leaf-stem	0.96	222	2413	y	Plant	1727	345	13720	345	80.4	18.5	ND<2.9	2.9	ND<5.2	5.2	81.8	8.5	ND<1.1	1.1	ND<0.9	0.9	31.6	3.7	8.7	2.2	2.5	0.7	1.2	0.5	ND<2.7	2.7	ND<1.3	1.3	ND<0.4	0.4	ND<0.3	0.3	ND<1.1	1.1	0.064420514
cf. Boechera perennans	G37	P6	P6_edge7	357	leaf-stem	0.189	223	2416	y	Plant	621	252	21408	457	112	22.8	8.4	5.9	ND<4.2	4.2	522	22.8	ND<2.2	2.2	ND<1.4	1.4	81.5	7.5	ND<1.7	1.7	9.2	0.5	3.8	1	ND<2.7	2.7	ND<1.7	1.7	ND<0.5	0.5	ND<0.5	0.5	ND<1.0	1	0.042923316
Pseudognaphalium canescens	G39	P6	P6_84	358;359	leaf	0.25	224	2417	y	Plant	1306	324	8623	289	410	38.1	14.2	6.2	ND<5.7	5.7	2641	47.4	ND<3.8	3.8	ND<1.6	1.6	450	13.5	ND<1.9	1.9	11.6	0.6	ND<0.6	0.6	ND<3.4	3.4	ND<1.8	1.8	ND<0.5	0.5	ND<0.6	0.6	ND<1.1	1.1	0.037468746
Pseudognaphalium canescens	G39	P6	P6_84_1	360;361	leaf	0.222	225	2418	y	Plant	2074	391	9548	299	286	31.8	13.2	6.1	ND<5.2	5.2	1730	39.5	ND<3.1	3.1	ND<1.5	1.5	131	9.1	ND<1.6	1.6	10.2	0.6	ND<0.4	0.4	ND<4.4	4.4	ND<1.9	1.9	ND<0.6	0.6	ND<0.6	0.6	ND<1.2	1.2	0.030822171
Tamarix chinesis	G11	P6	P6_Edge6	362;363	leaf	1.8	226	2419	y	Plant	4494	603	44255	656	ND<10.3	10.3	ND<3.4	3.4	ND<6.1	6.1	78.8	9.5	ND<1.6	1.6	ND<2.1	2.1	72.8	5.2	27.4	2.9	2	0.7	6.2	0.9	ND<3.7	3.7	ND<1.2	1.2	ND<0.4	0.4	ND<0.4	0.4	ND<1.2	1.2	0.092458218
